training_scale,seed,model,model_group,split,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
expanded_tcga_metabric_scanb_smc,43,logistic_l2,linear,valid,907,0.8555678059536935,0.8666284639997107,0.8341462972897556,0.9819118079234188
expanded_tcga_metabric_scanb_smc,43,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8082501385309115,0.8222629057450979,0.9926887112561426
expanded_tcga_metabric_scanb_smc,43,logistic_elasticnet,linear,train,5135,0.885491723466407,0.9120429817757199,0.871749816405306,0.9898697757987007
expanded_tcga_metabric_scanb_smc,43,logistic_elasticnet,linear,valid,907,0.8544652701212789,0.8675142448854917,0.8337736061482091,0.9822234847787144
expanded_tcga_metabric_scanb_smc,43,logistic_elasticnet,linear,cptac_external,122,0.9344262295081968,0.8600148444132643,0.8686585052374525,0.9937143522817836
expanded_tcga_metabric_scanb_smc,43,ridge_classifier,linear,train,5135,0.7742940603700097,0.8263506738621118,0.7658331458708284,0.9630900905682236
expanded_tcga_metabric_scanb_smc,43,ridge_classifier,linear,valid,907,0.7596471885336273,0.8022452247825086,0.7485125749735303,0.9589150627812074
expanded_tcga_metabric_scanb_smc,43,ridge_classifier,linear,cptac_external,122,0.819672131147541,0.8274039053007772,0.7567776770164182,0.9727139765671055
expanded_tcga_metabric_scanb_smc,43,linear_svm_calibrated,linear_svm,train,5135,0.8862706913339825,0.8092828428151877,0.838035818380211,0.9845506925920035
expanded_tcga_metabric_scanb_smc,43,linear_svm_calibrated,linear_svm,valid,907,0.856670341786108,0.7675569528900211,0.7977133526255535,0.9749483870610959
expanded_tcga_metabric_scanb_smc,43,linear_svm_calibrated,linear_svm,cptac_external,122,0.9016393442622951,0.7331182926891264,0.7207268670179937,0.9729146640334683
expanded_tcga_metabric_scanb_smc,43,lda_shrinkage,linear_discriminant,train,5135,0.8691333982473223,0.8142457957003837,0.8308946056465792,0.9757278034857773
expanded_tcga_metabric_scanb_smc,43,lda_shrinkage,linear_discriminant,valid,907,0.8500551267916208,0.772653310102107,0.8009908296920016,0.9742300120944037
expanded_tcga_metabric_scanb_smc,43,lda_shrinkage,linear_discriminant,cptac_external,122,0.9016393442622951,0.8012325946712624,0.8136072155309904,0.9865671199234465
expanded_tcga_metabric_scanb_smc,43,gaussian_nb,probabilistic,train,5135,0.789873417721519,0.7989377108693281,0.7678108003654118,0.9557270413137939
expanded_tcga_metabric_scanb_smc,43,gaussian_nb,probabilistic,valid,907,0.7938257993384785,0.7841862790222305,0.7634614149833825,0.9556140399826386
expanded_tcga_metabric_scanb_smc,43,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8183552131417077,0.9815905644431148
expanded_tcga_metabric_scanb_smc,43,knn_distance,instance_based,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,43,knn_distance,instance_based,valid,907,0.844542447629548,0.7256907187728425,0.7701644538317243,0.9678893855096427
expanded_tcga_metabric_scanb_smc,43,knn_distance,instance_based,cptac_external,122,0.8360655737704918,0.6314376204202189,0.6559017622797151,0.9773686276455263
expanded_tcga_metabric_scanb_smc,43,random_forest,tree_ensemble,train,5135,0.9996105160662123,0.9997524070028586,0.999633490518552,0.9999950715105876
expanded_tcga_metabric_scanb_smc,43,random_forest,tree_ensemble,valid,907,0.8721058434399118,0.7826120019041077,0.8087378442739626,0.9802324347697884
expanded_tcga_metabric_scanb_smc,43,random_forest,tree_ensemble,cptac_external,122,0.8934426229508197,0.7164854326485586,0.7142468399522303,0.9892684650649987
expanded_tcga_metabric_scanb_smc,43,extra_trees,tree_ensemble,train,5135,0.9998052580331062,0.9998348472336911,0.9997572614059855,0.999999957912139
expanded_tcga_metabric_scanb_smc,43,extra_trees,tree_ensemble,valid,907,0.8743109151047409,0.7938072605461748,0.8193670547987033,0.9812846357371263
expanded_tcga_metabric_scanb_smc,43,extra_trees,tree_ensemble,cptac_external,122,0.9098360655737705,0.7682501385309115,0.791634906231095,0.9904995026892249
expanded_tcga_metabric_scanb_smc,43,hist_gradient_boosting,boosting,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,43,hist_gradient_boosting,boosting,valid,907,0.9106945975744212,0.8704221158307458,0.8848799411130948,0.9874459773346009
expanded_tcga_metabric_scanb_smc,43,hist_gradient_boosting,boosting,cptac_external,122,0.9016393442622951,0.7647413666010869,0.7787133938858077,0.9871162411044357
expanded_tcga_metabric_scanb_smc,43,sklearn_mlp,static_nn,train,5135,0.9394352482960078,0.9006414416713934,0.9193942358704241,0.9942817383912192
expanded_tcga_metabric_scanb_smc,43,sklearn_mlp,static_nn,valid,907,0.898566703417861,0.8320045414915169,0.8547907279012014,0.9848970276163923
expanded_tcga_metabric_scanb_smc,43,sklearn_mlp,static_nn,cptac_external,122,0.9508196721311475,0.8495740365111561,0.8829770292872141,0.9965789032662098
joined_tcga_metabric,44,logistic_l2,linear,train,2326,0.8938091143594153,0.92770570104734,0.8900923690012291,0.9897411915289899
joined_tcga_metabric,44,logistic_l2,linear,valid,411,0.8418491484184915,0.8485930171964565,0.8181332915038604,0.9762454038389972
joined_tcga_metabric,44,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8977444625763191,0.8627364715973662,0.9878250724971884
joined_tcga_metabric,44,logistic_elasticnet,linear,train,2326,0.883920894239037,0.9174384551817504,0.8766573258981889,0.9890623009421884
joined_tcga_metabric,44,logistic_elasticnet,linear,valid,411,0.8491484184914841,0.8638321050150127,0.827072453550629,0.9778905314447799
joined_tcga_metabric,44,logistic_elasticnet,linear,cptac_external,122,0.9344262295081968,0.9130179403884966,0.8829830400792288,0.9899253160553471
joined_tcga_metabric,44,ridge_classifier,linear,train,2326,0.7704213241616509,0.8236700800717275,0.7624749417975716,0.9622034027587751
joined_tcga_metabric,44,ridge_classifier,linear,valid,411,0.7615571776155717,0.8115010298022284,0.7529825115887062,0.9464423224977001
joined_tcga_metabric,44,ridge_classifier,linear,cptac_external,122,0.8032786885245902,0.802928009679371,0.7256263482691254,0.9651269415609567
joined_tcga_metabric,44,linear_svm_calibrated,linear_svm,train,2326,0.8658641444539983,0.7722632829104187,0.802059216129377,0.9831335448739944
joined_tcga_metabric,44,linear_svm_calibrated,linear_svm,valid,411,0.8661800486618005,0.7766882552916946,0.8025539029542955,0.968904029816548
joined_tcga_metabric,44,linear_svm_calibrated,linear_svm,cptac_external,122,0.9098360655737705,0.7400148444132644,0.7277568252181256,0.9660105342487212
joined_tcga_metabric,44,lda_shrinkage,linear_discriminant,train,2326,0.852536543422184,0.796857604952085,0.8133142465620802,0.9745253392266496
joined_tcga_metabric,44,lda_shrinkage,linear_discriminant,valid,411,0.8491484184914841,0.8130286111317899,0.8205817983134841,0.9671836594045615
joined_tcga_metabric,44,lda_shrinkage,linear_discriminant,cptac_external,122,0.8688524590163934,0.7589622128343171,0.7457646950855781,0.9856429391850241
joined_tcga_metabric,44,gaussian_nb,probabilistic,train,2326,0.7953568357695615,0.790681492811065,0.773650775346698,0.9574077769984527
joined_tcga_metabric,44,gaussian_nb,probabilistic,valid,411,0.7907542579075426,0.7912904373144081,0.7666760760953812,0.9576134116770693
joined_tcga_metabric,44,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8074802390591864,0.9816209319657423
joined_tcga_metabric,44,knn_distance,instance_based,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,44,knn_distance,instance_based,valid,411,0.8223844282238443,0.7072703210170641,0.7403671076251721,0.9567449368692632
joined_tcga_metabric,44,knn_distance,instance_based,cptac_external,122,0.8360655737704918,0.6323043918111709,0.6512413136573031,0.9737084916704687
joined_tcga_metabric,44,random_forest,tree_ensemble,train,2326,0.999140154772141,0.9996074582924436,0.9994538859961256,0.9999994506712536
joined_tcga_metabric,44,random_forest,tree_ensemble,valid,411,0.8540145985401459,0.7886596028023855,0.8093166918241828,0.9772040911124227
joined_tcga_metabric,44,random_forest,tree_ensemble,cptac_external,122,0.9016393442622951,0.7904556523153726,0.8215873682211511,0.9874204942077398
joined_tcga_metabric,44,extra_trees,tree_ensemble,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,44,extra_trees,tree_ensemble,valid,411,0.8661800486618005,0.8007906730522676,0.8217080367080367,0.9781217256342425
joined_tcga_metabric,44,extra_trees,tree_ensemble,cptac_external,122,0.8852459016393442,0.7469468803855481,0.7662087421944693,0.9886962577745251
joined_tcga_metabric,44,hist_gradient_boosting,boosting,train,2326,1.0,1.0,1.0,1.0
joined_tcga_metabric,44,hist_gradient_boosting,boosting,valid,411,0.8734793187347932,0.8424779771210205,0.8428519512205164,0.9849752692452546
joined_tcga_metabric,44,hist_gradient_boosting,boosting,cptac_external,122,0.8934426229508197,0.786946880385548,0.8036800927267459,0.9847887045536996
joined_tcga_metabric,44,sklearn_mlp,static_nn,train,2326,0.9746345657781599,0.955374129445351,0.9652518210028063,0.99784928681888
joined_tcga_metabric,44,sklearn_mlp,static_nn,valid,411,0.8734793187347932,0.8268469854504247,0.8396624233699853,0.9831926863085838
joined_tcga_metabric,44,sklearn_mlp,static_nn,cptac_external,122,0.9262295081967213,0.8174938360099031,0.8498138000368153,0.9913602112490455
expanded_tcga_metabric_scanb_smc,44,logistic_l2,linear,train,5135,0.8827653359298929,0.912798806107571,0.8710132412730678,0.9895161040893454
expanded_tcga_metabric_scanb_smc,44,logistic_l2,linear,valid,907,0.8809261300992283,0.8828206935902303,0.8538599677550429,0.9847539313679036
expanded_tcga_metabric_scanb_smc,44,logistic_l2,linear,cptac_external,122,0.9344262295081968,0.842556492651507,0.8467498487598307,0.988914171348765
expanded_tcga_metabric_scanb_smc,44,logistic_elasticnet,linear,train,5135,0.8819863680623174,0.9123237501467848,0.8699650395222586,0.9893741910975965
expanded_tcga_metabric_scanb_smc,44,logistic_elasticnet,linear,valid,907,0.8809261300992283,0.8838631971859254,0.8548535204133897,0.9857694713939841
expanded_tcga_metabric_scanb_smc,44,logistic_elasticnet,linear,cptac_external,122,0.9426229508196722,0.8460652645813317,0.8574365566879179,0.9902438043685112
expanded_tcga_metabric_scanb_smc,44,ridge_classifier,linear,train,5135,0.7756572541382668,0.8262203882810704,0.7674633310608177,0.9624899400930124
expanded_tcga_metabric_scanb_smc,44,ridge_classifier,linear,valid,907,0.7640573318632855,0.8158754422484786,0.7551091311386635,0.9597732199619724
expanded_tcga_metabric_scanb_smc,44,ridge_classifier,linear,cptac_external,122,0.8442622950819673,0.8487071634461406,0.7832750325010387,0.9723573562822712
expanded_tcga_metabric_scanb_smc,44,linear_svm_calibrated,linear_svm,train,5135,0.878286270691334,0.7981443496455778,0.8267075851270675,0.9836829849908728
expanded_tcga_metabric_scanb_smc,44,linear_svm_calibrated,linear_svm,valid,907,0.8632855567805954,0.7702652726076866,0.8007550408106308,0.9798469878172454
expanded_tcga_metabric_scanb_smc,44,linear_svm_calibrated,linear_svm,cptac_external,122,0.9016393442622951,0.7613535868067736,0.7786681945505476,0.9770411325787614
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,train,5135,0.866601752677702,0.8114025319706814,0.8290054194453693,0.9751065814114626
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,valid,907,0.8621830209481808,0.7892669092688976,0.8131128623208912,0.9738118532233223
expanded_tcga_metabric_scanb_smc,44,lda_shrinkage,linear_discriminant,cptac_external,122,0.8934426229508197,0.7943360429471243,0.7988620192068469,0.9844071196210311
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,train,5135,0.7920155793573516,0.7981436515551887,0.769526004759184,0.9560320399279432
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,valid,907,0.7905181918412348,0.7849866160882267,0.7623689385320039,0.9561478377935441
expanded_tcga_metabric_scanb_smc,44,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8183552131417077,0.981174031658161
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,valid,907,0.844542447629548,0.7278900095066332,0.7724503285842113,0.9690262106526477
expanded_tcga_metabric_scanb_smc,44,knn_distance,instance_based,cptac_external,122,0.8524590163934426,0.6574880405882861,0.6799682539682539,0.9759261396951538
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,train,5135,0.9998052580331062,0.9998348472336911,0.9997572614059855,0.9999955502245392
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,valid,907,0.8996692392502756,0.8298530944762799,0.8585755805685424,0.9844301835076532
expanded_tcga_metabric_scanb_smc,44,random_forest,tree_ensemble,cptac_external,122,0.9098360655737705,0.7682501385309115,0.791634906231095,0.9909554268012066
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,train,5135,0.9998052580331062,0.9998348472336911,0.9997572614059855,1.0
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,valid,907,0.8875413450937155,0.8146377954252284,0.8427825408529628,0.9846727377149127
expanded_tcga_metabric_scanb_smc,44,extra_trees,tree_ensemble,cptac_external,122,0.9016393442622951,0.7647413666010869,0.7849179467200179,0.9895781318916933
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,valid,907,0.9173098125689085,0.8794025329082,0.8905932695844566,0.9890246161484418
expanded_tcga_metabric_scanb_smc,44,hist_gradient_boosting,boosting,cptac_external,122,0.9180327868852459,0.8447413666010869,0.8696447230929991,0.9860363382542137
expanded_tcga_metabric_scanb_smc,44,sklearn_mlp,static_nn,train,5135,0.9370983446932813,0.9055890735742128,0.9208663935385111,0.9937846535704388
expanded_tcga_metabric_scanb_smc,44,sklearn_mlp,static_nn,valid,907,0.9018743109151047,0.8507770826641377,0.870216938841331,0.9864816591269037
expanded_tcga_metabric_scanb_smc,44,sklearn_mlp,static_nn,cptac_external,122,0.9098360655737705,0.7657291301275502,0.7875276426360018,0.9941473341473342
