training_scale,split,model,model_group,runs,n_mean,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd
expanded_tcga_metabric_scanb_smc,cptac_external,sklearn_mlp,static_nn,3,122.0,0.9316939890710382,0.020627962937898214,0.8336774322554188,0.061559130274457564,0.8559233861382362,0.0596617406654985,0.9939782414850459,0.0026891981802639455
expanded_tcga_metabric_scanb_smc,cptac_external,logistic_elasticnet,linear,3,122.0,0.9316939890710382,0.012520698620097937,0.8436140384768547,0.017753789128657126,0.8508657503005491,0.02183278206306455,0.9910585822214727,0.002356504813324285
expanded_tcga_metabric_scanb_smc,cptac_external,hist_gradient_boosting,boosting,3,122.0,0.9180327868852459,0.016393442622950838,0.8240061953395998,0.052090314636914076,0.8443173701015749,0.0573042881607774,0.9868603724392521,0.0007305180250638951
expanded_tcga_metabric_scanb_smc,cptac_external,logistic_l2,linear,3,122.0,0.9234972677595629,0.00946475851130535,0.8240602859413578,0.017310189750059483,0.8312366479084815,0.013489847460234749,0.9896249903732132,0.002777390545967637
expanded_tcga_metabric_scanb_smc,cptac_external,gaussian_nb,probabilistic,3,122.0,0.8688524590163934,0.0,0.8659148886414819,0.0,0.8183552131417077,0.0,0.9813909956367347,0.00020881052235718973
expanded_tcga_metabric_scanb_smc,cptac_external,lda_shrinkage,linear_discriminant,3,122.0,0.8989071038251367,0.004732379255652675,0.7989337440965497,0.003981725994411284,0.8086921500896093,0.008513143066998118,0.9860357155788325,0.0014384965775577436
expanded_tcga_metabric_scanb_smc,cptac_external,extra_trees,tree_ensemble,3,122.0,0.9098360655737704,0.008196721311475391,0.7710021165150875,0.007999988639917688,0.792317785443386,0.0077638349537410625,0.9904985933436304,0.0009200071161928133
expanded_tcga_metabric_scanb_smc,cptac_external,ridge_classifier,linear,3,122.0,0.8360655737704917,0.014197137766958043,0.8416060773976861,0.012299441824841642,0.7731173476402818,0.014289512689417617,0.9725327657132289,0.0001783809106091034
expanded_tcga_metabric_scanb_smc,cptac_external,random_forest,tree_ensemble,3,122.0,0.9043715846994536,0.00946475851130535,0.7509952365701272,0.029886366875698265,0.76583888413814,0.04468002089816716,0.9901812644007216,0.0008519830542426427
expanded_tcga_metabric_scanb_smc,cptac_external,linear_svm_calibrated,linear_svm,3,122.0,0.8989071038251367,0.0047323792556527074,0.7386084887675578,0.020557399877774402,0.7346723157710908,0.03894317164324874,0.9753952766754573,0.0021862181440580044
expanded_tcga_metabric_scanb_smc,cptac_external,knn_distance,instance_based,3,122.0,0.8442622950819673,0.008196721311475391,0.6440426624370256,0.013045524954840348,0.6674012872046907,0.012068702482359136,0.9768148262619073,0.0007773698837455628
joined_tcga_metabric,cptac_external,logistic_elasticnet,linear,3,122.0,0.9344262295081968,0.0,0.9130179403884965,0.0,0.8829830400792288,0.0,0.9899253160553471,0.0
joined_tcga_metabric,cptac_external,sklearn_mlp,static_nn,3,122.0,0.9344262295081966,0.01419713776695797,0.8583341721443568,0.044673363670932074,0.8822886341977517,0.04395229956769619,0.9940278553047185,0.002872245783282616
joined_tcga_metabric,cptac_external,logistic_l2,linear,3,122.0,0.9180327868852459,0.0,0.8977444625763192,0.0,0.8627364715973661,0.0,0.9878250724971883,0.0
joined_tcga_metabric,cptac_external,extra_trees,tree_ensemble,3,122.0,0.8961748633879781,0.00946475851130535,0.8030321917030575,0.0487464021292196,0.8247143099823896,0.05068319622526721,0.9879717424473266,0.0008103906994173202
joined_tcga_metabric,cptac_external,random_forest,tree_ensemble,3,122.0,0.9016393442622951,0.0,0.7904556523153726,0.0,0.8215873682211511,0.0,0.9881266767836986,0.000731268798184072
joined_tcga_metabric,cptac_external,gaussian_nb,probabilistic,3,122.0,0.8688524590163934,0.0,0.8659148886414819,0.0,0.8074802390591863,0.0,0.9816209319657423,0.0
joined_tcga_metabric,cptac_external,hist_gradient_boosting,boosting,3,122.0,0.8934426229508197,0.0,0.786946880385548,0.0,0.8036800927267459,0.0,0.9847887045536995,0.0
joined_tcga_metabric,cptac_external,lda_shrinkage,linear_discriminant,3,122.0,0.8688524590163934,0.0,0.7589622128343171,0.0,0.7457646950855782,0.0,0.985642939185024,0.0
joined_tcga_metabric,cptac_external,linear_svm_calibrated,linear_svm,3,122.0,0.9098360655737704,0.0,0.7400148444132645,0.0,0.7277568252181256,0.0,0.9660105342487212,0.0
joined_tcga_metabric,cptac_external,ridge_classifier,linear,3,122.0,0.8032786885245903,0.0,0.8029280096793711,0.0,0.7256263482691253,0.0,0.9651269415609566,0.0
joined_tcga_metabric,cptac_external,knn_distance,instance_based,3,122.0,0.8360655737704917,0.0,0.6323043918111709,0.0,0.6512413136573031,0.0,0.9737084916704687,0.0
expanded_tcga_metabric_scanb_smc,train,hist_gradient_boosting,boosting,3,5135.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
expanded_tcga_metabric_scanb_smc,train,knn_distance,instance_based,3,5135.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
expanded_tcga_metabric_scanb_smc,train,extra_trees,tree_ensemble,3,5135.0,0.9998701720220708,0.0001124343270087244,0.9998898981557941,9.53509940858668e-05,0.999838174270657,0.00014014519259696487,0.9999999859707129,2.4299437855028295e-08
expanded_tcga_metabric_scanb_smc,train,random_forest,tree_ensemble,3,5135.0,0.999675430055177,0.00011243432700869234,0.9998074579249615,4.7675691455215195e-05,0.9997144203986944,7.012759671004633e-05,0.9999964964217071,2.0673431363803863e-06
expanded_tcga_metabric_scanb_smc,train,sklearn_mlp,static_nn,3,5135.0,0.9450178513469653,0.011751404361574715,0.9147535765984697,0.020309386280720865,0.9293717131387987,0.016023487358128214,0.9949459211290416,0.001600304632968848
expanded_tcga_metabric_scanb_smc,train,logistic_l2,linear,3,5135.0,0.8854917234664069,0.002486298994119494,0.913771569169867,0.002175381617754385,0.8732795888808648,0.0023459208755288313,0.9900049411920736,0.0004980070638268794
expanded_tcga_metabric_scanb_smc,train,logistic_elasticnet,linear,3,5135.0,0.8853618954884778,0.003312522121953409,0.9140533904433207,0.0032420182618474987,0.8728968731892183,0.0036434005562423124,0.9898771783148913,0.0005067290291939072
expanded_tcga_metabric_scanb_smc,train,linear_svm_calibrated,linear_svm,3,5135.0,0.8828302499188575,0.004105007920483606,0.80506000145571,0.006037791700177154,0.8336433328445821,0.006077281798120265,0.9843004086498097,0.0005378873478458728
expanded_tcga_metabric_scanb_smc,train,lda_shrinkage,linear_discriminant,3,5135.0,0.8682895163907821,0.0014616462511130004,0.8128513570458722,0.0014224118852238195,0.8302094570511475,0.001046035601451591,0.9756683636773543,0.0005345467003320395
expanded_tcga_metabric_scanb_smc,train,gaussian_nb,probabilistic,3,5135.0,0.7912366114897761,0.0011845691392985878,0.798273133549848,0.0006102276653650737,0.7689336639445443,0.0009729194883635249,0.9560807289685269,0.00038037651394210435
expanded_tcga_metabric_scanb_smc,train,ridge_classifier,linear,3,5135.0,0.7759169100941253,0.0017670441530433186,0.8266409061916947,0.0006189652745692769,0.7675421694896,0.00174977540393844,0.9630894119891255,0.0005991328947741021
joined_tcga_metabric,train,extra_trees,tree_ensemble,3,2326.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
joined_tcga_metabric,train,hist_gradient_boosting,boosting,3,2326.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
joined_tcga_metabric,train,knn_distance,instance_based,3,2326.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
joined_tcga_metabric,train,random_forest,tree_ensemble,3,2326.0,0.999140154772141,0.0,0.9996074582924436,0.0,0.9994538859961256,0.0,0.9999995007275796,8.67000996894331e-08
joined_tcga_metabric,train,sklearn_mlp,static_nn,3,2326.0,0.9369446832903411,0.03517579781629545,0.9150731150124574,0.036574367409835266,0.9234690331717648,0.03922483868908149,0.9936267019254833,0.004703971941368786
joined_tcga_metabric,train,logistic_l2,linear,3,2326.0,0.8938091143594153,0.0,0.9277057010473401,0.0,0.8900923690012291,0.0,0.9897411915289899,0.0
joined_tcga_metabric,train,logistic_elasticnet,linear,3,2326.0,0.883920894239037,0.0,0.9174384551817504,0.0,0.8766573258981888,0.0,0.9890622085065859,5.437382310925088e-07
joined_tcga_metabric,train,lda_shrinkage,linear_discriminant,3,2326.0,0.852536543422184,0.0,0.796857604952085,0.0,0.8133142465620802,0.0,0.9745253392266496,0.0
joined_tcga_metabric,train,linear_svm_calibrated,linear_svm,3,2326.0,0.8658641444539983,0.0,0.7722632829104187,0.0,0.802059216129377,0.0,0.9831335448739944,0.0
joined_tcga_metabric,train,gaussian_nb,probabilistic,3,2326.0,0.7953568357695615,0.0,0.790681492811065,0.0,0.773650775346698,0.0,0.9574077769984527,0.0
joined_tcga_metabric,train,ridge_classifier,linear,3,2326.0,0.7704213241616508,0.0,0.8236700800717275,0.0,0.7624749417975716,0.0,0.962203402758775,0.0
expanded_tcga_metabric_scanb_smc,valid,hist_gradient_boosting,boosting,3,907.0,0.9073869900771775,0.011925748430421155,0.8716861303120997,0.007168469642032952,0.8815501650962289,0.011089484187752541,0.9873653468192427,0.001701018438453693
expanded_tcga_metabric_scanb_smc,valid,sklearn_mlp,static_nn,3,907.0,0.8908489525909592,0.01631604033842196,0.8381274389427104,0.010956773620753701,0.855680015733976,0.01411330781331293,0.9840073332703098,0.003019145276239317
expanded_tcga_metabric_scanb_smc,valid,random_forest,tree_ensemble,3,907.0,0.88460124954061,0.013960617356282687,0.8118393117896,0.025538942833093464,0.8367949167416344,0.025504802857724905,0.9817516175838971,0.002326671552403405
expanded_tcga_metabric_scanb_smc,valid,logistic_elasticnet,linear,3,907.0,0.8610804851157662,0.017502213744639,0.8681002493231564,0.015478267639728678,0.8355230169726986,0.018517878105804485,0.9820886475931841,0.0037500609116212034
expanded_tcga_metabric_scanb_smc,valid,logistic_l2,linear,3,907.0,0.8614479970599045,0.01730431071957893,0.86679631099993,0.01594112183842948,0.8351257229480421,0.018264238365071555,0.9813057264095852,0.0037877890011361773
expanded_tcga_metabric_scanb_smc,valid,extra_trees,tree_ensemble,3,907.0,0.8816611539875047,0.006736605211254422,0.8103778828714203,0.0149044616522803,0.834972416841062,0.013514642013495221,0.9820062185881145,0.0023889101261224677
expanded_tcga_metabric_scanb_smc,valid,lda_shrinkage,linear_discriminant,3,907.0,0.8544652701212789,0.0067064636497223915,0.7867440067499721,0.01301396615470637,0.8093031734131021,0.007207034344294615,0.972610196555778,0.0024523954142854666
expanded_tcga_metabric_scanb_smc,valid,linear_svm_calibrated,linear_svm,3,907.0,0.8614479970599045,0.004174133293495272,0.7771806212390823,0.014387079652700462,0.8055777237063314,0.011092067918353758,0.9759061044322586,0.0035599904412181183
expanded_tcga_metabric_scanb_smc,valid,knn_distance,instance_based,3,907.0,0.8419698640205807,0.004455845517450295,0.7272983672168402,0.001408339913504713,0.7678675431070024,0.0060666276232481725,0.9672599734940422,0.0021511494778017576
expanded_tcga_metabric_scanb_smc,valid,gaussian_nb,probabilistic,3,907.0,0.7916207276736493,0.0019096480789072554,0.7895429631679383,0.008594258310750648,0.7642064094524529,0.0023022210613347113,0.954400480499778,0.002578081873082095
expanded_tcga_metabric_scanb_smc,valid,ridge_classifier,linear,3,907.0,0.7607497243660418,0.0029170356241065,0.8058173502774816,0.008831564294534132,0.7485269569400979,0.00657499501231449,0.9574758537564142,0.003264292308568754
joined_tcga_metabric,valid,sklearn_mlp,static_nn,3,411.0,0.8694241686942417,0.007023725902550256,0.8385202003909664,0.010785902934215424,0.8436645627706834,0.004961327261658758,0.9824813844948008,0.0018999211505802464
joined_tcga_metabric,valid,hist_gradient_boosting,boosting,3,411.0,0.8734793187347932,0.0,0.8424779771210206,0.0,0.8428519512205165,0.0,0.9849752692452546,0.0
joined_tcga_metabric,valid,logistic_elasticnet,linear,3,411.0,0.8491484184914841,0.0,0.8638321050150127,0.0,0.827072453550629,0.0,0.977896748030631,1.076744254373927e-05
joined_tcga_metabric,valid,lda_shrinkage,linear_discriminant,3,411.0,0.8491484184914841,0.0,0.81302861113179,0.0,0.8205817983134841,0.0,0.9671836594045615,0.0
joined_tcga_metabric,valid,logistic_l2,linear,3,411.0,0.8418491484184915,0.0,0.8485930171964565,0.0,0.8181332915038603,0.0,0.976245403838997,0.0
joined_tcga_metabric,valid,extra_trees,tree_ensemble,3,411.0,0.8613138686131387,0.004866180048661864,0.7944137020218313,0.005734838069029055,0.8154414611908377,0.005523676840507811,0.9778194089798867,0.0002618544840912476
joined_tcga_metabric,valid,random_forest,tree_ensemble,3,411.0,0.8580697485806974,0.003716606403046149,0.7933911235735102,0.0045710203378414764,0.8139367066536746,0.0041074932280054195,0.9771053775652737,0.0003271125381342565
joined_tcga_metabric,valid,linear_svm_calibrated,linear_svm,3,411.0,0.8661800486618004,0.0,0.7766882552916946,0.0,0.8025539029542955,0.0,0.968904029816548,0.0
joined_tcga_metabric,valid,gaussian_nb,probabilistic,3,411.0,0.7907542579075426,0.0,0.7912904373144082,0.0,0.7666760760953814,0.0,0.9576134116770693,0.0
joined_tcga_metabric,valid,ridge_classifier,linear,3,411.0,0.7615571776155717,0.0,0.8115010298022284,0.0,0.7529825115887062,0.0,0.9464423224977002,0.0
joined_tcga_metabric,valid,knn_distance,instance_based,3,411.0,0.8223844282238443,0.0,0.7072703210170642,0.0,0.7403671076251722,0.0,0.9567449368692632,0.0
